DMA,Name,Population
504,Philadelphia,7027600
753,Phoenix (Prescott),5052400
508,Pittsburgh,2437100
820,"Portland, OR",3036000
500,Portland-Auburn,898500
552,Presque Isle,58700
521,Providence-New Bedford,1422700
717,Quincy-Hannibal-Keokuk,220600
560,Raleigh-Durham (Fayetvlle),2850400
764,Rapid City,231900
811,Reno,677900
556,Richmond-Petersburg,1323900
573,Roanoke-Lynchburg,1002900
538,"Rochester, NY",926800
611,Rochestr-Mason City-Austin,319600
610,Rockford,394500
862,Sacramnto-Stkton-Modesto,3754500
576,Salisbury,397800
770,Salt Lake City,2800800
661,San Angelo,129100
641,San Antonio,2458400
825,San Diego,2867500
807,San Francisco-Oak-San Jose,6623000
855,SantaBarbra-SanMar-SanLuob,632700
507,Savannah,848000
819,Seattle-Tacoma,4794300
657,Sherman-Ada,302400
612,Shreveport,836600
624,Sioux City,340400
725,Sioux Falls(Mitchell),600400
588,South Bend-Elkhart,762700
881,Spokane,1064500
619,"Springfield, MO",960000
543,Springfield-Holyoke,611600
638,St. Joseph,106600
609,St. Louis,2726000
555,Syracuse,858500
530,Tallahassee-Thomasville,661300
539,Tampa-St. Pete (Sarasota),4493000
581,Terre Haute,318100
547,Toledo,900300
605,Topeka,387900
540,Traverse City-Cadillac,545500
531,"Tri-Cities, TN-VA",690600
789,Tucson (Sierra Vista),1061600
671,Tulsa,1210100
760,Twin Falls,165800
709,Tyler-Longview(Lfkn&Ncgd),654100
526,Utica,232100
626,Victoria,77200
625,Waco-Temple-Bryan,925000
511,"Washington, DC (Hagrstwn)",6055900
549,Watertown,204500
705,Wausau-Rhinelander,389100
548,West Palm Beach-Ft. Pierce,1946000
554,Wheeling-Steubenville,279300
627,Wichita Falls & Lawton,354600
678,Wichita-Hutchinson Plus,1008400
577,Wilkes Barre-Scranton-Hztn,1308400
550,Wilmington,478000
810,Yakima-Pasco-Rchlnd-Knnwck,628100
536,Youngstown,551800
771,Yuma-El Centro,328900
596,Zanesville,73500
